Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/admin/review-queue,311,2,320,341.8822649513915,1.819099998101592,2062.7809000143316,56378.093247588426,1.0387597512463098,0.0066801270176611565,320,350,360,370,430,500,710,930,2100,2100,2100
GET,/auth/me,1041,0,10,14.268992699085091,5.443300004117191,387.3913999996148,309.0,3.477006112692632,0.0,10,12,14,15,20,27,40,100,280,390,390
POST,/auth/register,25,0,180,184.08477200078778,144.40259998082183,368.66470001405105,630.0,0.08350158772076445,0.0,180,180,180,190,190,270,370,370,370,370,370
GET,/health,1524,0,5,8.036998687429644,2.3216000117827207,520.5281999951694,101.0,5.090256787457801,0.0,5,6,6,7,8,11,24,96,330,520,520
GET,/products,70,0,61,69.78615142912271,23.051199998008087,185.55920000653714,5701.0,0.23380444561814048,0.0,62,74,77,84,120,120,190,190,190,190,190
POST,/products [POST],10,0,19,20.478540001204237,14.183999999659136,34.66810000827536,284.0,0.033400635088305784,0.0,20,22,23,24,35,35,35,35,35,35,35
GET,/products/{id},2910,0,10,14.530689759208753,4.475800000363961,629.3079000024591,284.0,9.719584810696983,0.0,10,12,13,15,20,27,43,110,580,630,630
GET,/requests,371,0,12,17.403408086098068,6.2485000235028565,282.4609999952372,11704.0,1.2391635617761445,0.0,12,14,16,17,23,34,85,160,280,280,280
GET,/reviews,4424,0,13,19.074684697126028,6.057499995222315,696.4955999865197,15627.0,14.776440963066477,0.0,13,15,18,19,25,33,89,190,410,700,700
POST,/reviews [POST],817,0,70,81.29814675566826,17.080399993574247,1100.1061999995727,759.0,2.728831886714582,0.0,70,75,77,80,90,110,280,540,1100,1100,1100
GET,/reviews?sort=wilson,7482,0,13,18.203561855110383,6.331399985356256,853.240199998254,15456.0,24.990355173070387,0.0,13,16,17,19,24,31,54,130,490,850,850
GET,/tokens/balance,782,0,10,15.339905498562741,4.808500001672655,566.332299989881,68.0,2.6119296639055123,0.0,10,12,14,16,21,26,45,160,570,570,570
,Aggregated,19767,2,12,24.83242503151018,1.819099998101592,2062.7809000143316,10575.42282592199,66.02303537905404,0.0066801270176611565,12,15,17,20,32,73,250,330,630,1400,2100
