Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/admin/review-queue,15,0,6100,6892.385860004772,5705.331100005424,9010.057899984531,49384.0,0.08391071786497951,0.0,6100,7900,8000,8000,8100,9000,9000,9000,9000,9000,9000
GET,/auth/me,158,0,140,145.15842531610258,136.49659999646246,203.7807000160683,309.0,0.8838595615111176,0.0,140,150,150,150,150,150,160,160,200,200,200
POST,/auth/register,7,0,2700,2860.801342858135,2649.209499999415,3306.0486000031233,630.0,0.039158335003657105,0.0,2700,2800,3300,3300,3300,3300,3300,3300,3300,3300,3300
GET,/health,183,0,3,3.4379568292894223,1.4576000103261322,17.832100013038144,101.0,1.02371075795275,0.0,3,3,4,4,5,6,6,14,18,18,18
GET,/products,17,0,2400,2427.350976471858,2207.6347999973223,2944.282899989048,5623.294117647059,0.09509881358031012,0.0,2400,2400,2500,2700,2700,2900,2900,2900,2900,2900,2900
POST,/products [POST],3,0,320,322.87959999909316,314.9157000007108,330.5292000004556,284.0,0.016782143572995904,0.0,320,320,330,330,330,330,330,330,330,330,330
GET,/products/{id},364,0,140,144.6529041206084,135.69060000008903,268.04290001746267,280.0357142857143,2.0362334201901695,0.0,140,150,150,150,150,150,150,160,270,270,270
GET,/requests,53,0,140,148.19516980897566,136.45869999891147,367.2939999960363,2.0,0.29648453645626094,0.0,140,140,150,150,150,150,150,370,370,370,370
GET,/reviews,585,0,150,149.23915008548647,138.49640000262298,696.7110999976285,15801.0,3.272517996734201,0.0,150,150,150,150,150,160,160,210,700,700,700
POST,/reviews [POST],127,0,460,470.10467244027086,446.2852999859024,752.7035000093747,759.0,0.7104440779234932,0.0,460,470,480,480,480,490,510,570,750,750,750
GET,/reviews?sort=wilson,1009,0,150,148.55259217097927,138.68840000941418,610.7487000117544,15401.0,5.644394288384289,0.0,150,150,150,150,150,160,160,170,340,610,610
GET,/tokens/balance,108,0,140,145.65624629580674,137.1575999946799,179.91649999748915,68.0,0.6041571686278525,0.0,140,150,150,150,150,150,160,160,180,180,180
,Aggregated,2629,0,150,213.90103362494025,1.4576000103261322,9010.057899984531,9850.85317611259,14.706751817802076,0.0,150,150,150,150,160,460,480,2500,8000,9000,9000
