votes,naive_100pct,wilson_100pct,naive_95pct,wilson_95pct
1,1.0,0.2065,1.0,0.2065
2,1.0,0.3424,1.0,0.3424
3,1.0,0.4385,1.0,0.4385
4,1.0,0.5101,1.0,0.5101
5,1.0,0.5655,1.0,0.5655
6,1.0,0.6097,1.0,0.6097
7,1.0,0.6457,1.0,0.6457
8,1.0,0.6756,1.0,0.6756
9,1.0,0.7009,1.0,0.7009
10,1.0,0.7225,1.0,0.7225
11,1.0,0.7412,0.9091,0.6226
12,1.0,0.7575,0.9167,0.6461
13,1.0,0.7719,0.9231,0.6669
14,1.0,0.7847,0.9286,0.6853
15,1.0,0.7961,0.9333,0.7018
16,1.0,0.8064,0.9375,0.7167
17,1.0,0.8157,0.9412,0.7302
18,1.0,0.8241,0.9444,0.7424
19,1.0,0.8318,0.9474,0.7536
20,1.0,0.8389,0.95,0.7639
21,1.0,0.8454,0.9524,0.7733
22,1.0,0.8513,0.9545,0.782
23,1.0,0.8569,0.9565,0.7901
24,1.0,0.862,0.9583,0.7976
25,1.0,0.8668,0.96,0.8046
26,1.0,0.8713,0.9615,0.8111
27,1.0,0.8754,0.963,0.8172
28,1.0,0.8794,0.9643,0.8229
29,1.0,0.883,0.9655,0.8282
30,1.0,0.8865,0.9333,0.7868
31,1.0,0.8897,0.9355,0.7928
32,1.0,0.8928,0.9375,0.7985
33,1.0,0.8957,0.9394,0.8039
34,1.0,0.8985,0.9412,0.8091
35,1.0,0.9011,0.9429,0.8139
36,1.0,0.9036,0.9444,0.8186
37,1.0,0.9059,0.9459,0.823
38,1.0,0.9082,0.9474,0.8271
39,1.0,0.9103,0.9487,0.8311
40,1.0,0.9124,0.95,0.835
41,1.0,0.9143,0.9512,0.8386
42,1.0,0.9162,0.9524,0.8421
43,1.0,0.918,0.9535,0.8454
44,1.0,0.9197,0.9545,0.8487
45,1.0,0.9213,0.9556,0.8517
46,1.0,0.9229,0.9565,0.8547
47,1.0,0.9244,0.9574,0.8575
48,1.0,0.9259,0.9583,0.8602
49,1.0,0.9273,0.9592,0.8629
50,1.0,0.9287,0.96,0.8654
