minute,target_wilson,control_wilson,homepage_cutoff,target_rank,upvotes_last_hour,velocity_flag
-5.0,0.4926,0.6918,0.5589,8,0,False
-4.0,0.4926,0.6918,0.5589,8,0,False
-3.0,0.4926,0.6918,0.5589,8,0,False
-2.0,0.4926,0.6918,0.5589,8,0,False
-1.0,0.4926,0.6918,0.5589,8,0,False
0.0,0.5283,0.6918,0.5589,8,1,False
1.0,0.7991,0.6918,0.5589,1,20,True
2.0,0.8749,0.6918,0.5589,1,40,True
3.0,0.9092,0.6918,0.5589,1,60,True
4.0,0.9287,0.6918,0.5589,1,80,True
5.0,0.9414,0.6918,0.5589,1,100,True
6.0,0.9502,0.6918,0.5589,1,120,True
7.0,0.9567,0.6918,0.5589,1,140,True
8.0,0.9617,0.6918,0.5589,1,160,True
9.0,0.9657,0.6918,0.5589,1,180,True
10.0,0.9689,0.6918,0.5589,1,200,True
11.0,0.9689,0.6918,0.5589,1,200,True
12.0,0.9689,0.6918,0.5589,1,200,True
13.0,0.9689,0.6918,0.5589,1,200,True
14.0,0.9689,0.6918,0.5589,1,200,True
15.0,0.9689,0.6918,0.5589,1,200,True
16.0,0.9689,0.6918,0.5589,1,200,True
17.0,0.9689,0.6918,0.5589,1,200,True
18.0,0.9689,0.6918,0.5589,1,200,True
19.0,0.9689,0.6918,0.5589,1,200,True
20.0,0.9689,0.6918,0.5589,1,200,True
21.0,0.9689,0.6918,0.5589,1,200,True
22.0,0.9689,0.6918,0.5589,1,200,True
23.0,0.9689,0.6918,0.5589,1,200,True
24.0,0.9689,0.6918,0.5589,1,200,True
25.0,0.9689,0.6918,0.5589,1,200,True
26.0,0.9689,0.6918,0.5589,1,200,True
27.0,0.9689,0.6918,0.5589,1,200,True
28.0,0.9689,0.6918,0.5589,1,200,True
29.0,0.9689,0.6918,0.5589,1,200,True
30.0,0.9689,0.6918,0.5589,1,200,True
31.0,0.9689,0.6918,0.5589,1,200,True
32.0,0.9689,0.6918,0.5589,1,200,True
33.0,0.9689,0.6918,0.5589,1,200,True
34.0,0.9689,0.6918,0.5589,1,200,True
35.0,0.9689,0.6918,0.5589,1,200,True
36.0,0.9689,0.6918,0.5589,1,200,True
37.0,0.9689,0.6918,0.5589,1,200,True
38.0,0.9689,0.6918,0.5589,1,200,True
39.0,0.9689,0.6918,0.5589,1,200,True
40.0,0.9689,0.6918,0.5589,1,200,True
41.0,0.9689,0.6918,0.5589,1,200,True
42.0,0.9689,0.6918,0.5589,1,200,True
43.0,0.9689,0.6918,0.5589,1,200,True
44.0,0.9689,0.6918,0.5589,1,200,True
45.0,0.9689,0.6918,0.5589,1,200,True
46.0,0.9689,0.6918,0.5589,1,200,True
47.0,0.9689,0.6918,0.5589,1,200,True
48.0,0.9689,0.6918,0.5589,1,200,True
49.0,0.9689,0.6918,0.5589,1,200,True
50.0,0.9689,0.6918,0.5589,1,200,True
51.0,0.9689,0.6918,0.5589,1,200,True
52.0,0.9689,0.6918,0.5589,1,200,True
53.0,0.9689,0.6918,0.5589,1,200,True
54.0,0.9689,0.6918,0.5589,1,200,True
55.0,0.9689,0.6918,0.5589,1,200,True
56.0,0.9689,0.6918,0.5589,1,200,True
57.0,0.9689,0.6918,0.5589,1,200,True
58.0,0.9689,0.6918,0.5589,1,200,True
59.0,0.9689,0.6918,0.5589,1,200,True
60.0,0.9689,0.6918,0.5589,1,199,True
