day,champion_wilson,challenger_wilson,champion_effective_n,challenger_effective_n
0,0.8882,0.2065,100.0,1.0
1,0.8876,0.3407,98.471,1.985
2,0.887,0.4347,96.966,2.954
3,0.8863,0.5044,95.484,3.909
4,0.8857,0.558,94.025,4.849
5,0.885,0.6005,92.587,5.775
6,0.8844,0.6351,91.172,6.687
7,0.8837,0.6638,89.779,7.585
8,0.883,0.6879,88.406,8.469
9,0.8823,0.7086,87.055,9.339
10,0.8816,0.7264,85.724,10.197
11,0.8809,0.7419,84.414,11.041
12,0.8802,0.7555,83.124,11.872
13,0.8795,0.7676,81.853,12.691
14,0.8787,0.7784,80.602,13.497
15,0.878,0.7881,79.37,14.29
16,0.8772,0.7969,78.157,15.072
17,0.8765,0.8048,76.962,15.842
18,0.8757,0.8121,75.786,16.599
19,0.875,0.8187,74.627,17.346
20,0.8742,0.8248,73.487,18.081
21,0.8734,0.8304,72.363,18.804
22,0.8726,0.8355,71.257,19.517
23,0.8718,0.8403,70.168,20.218
24,0.871,0.8448,69.096,20.909
25,0.8701,0.8489,68.04,21.59
26,0.8693,0.8528,66.999,22.26
27,0.8684,0.8565,65.975,22.92
28,0.8676,0.8599,64.967,23.569
29,0.8667,0.8631,63.974,24.209
30,0.8658,0.8035,62.996,24.839
31,0.8649,0.8085,62.033,25.459
32,0.8641,0.8132,61.085,26.07
33,0.8631,0.8177,60.151,26.672
34,0.8622,0.8219,59.232,27.264
35,0.8613,0.8259,58.326,27.847
36,0.8604,0.8297,57.435,28.422
37,0.8594,0.8334,56.557,28.987
38,0.8584,0.8368,55.693,29.544
39,0.8575,0.8401,54.841,30.092
40,0.8565,0.8433,54.003,30.632
41,0.8555,0.8463,53.178,31.164
42,0.8545,0.8492,52.365,31.688
43,0.8535,0.8519,51.564,32.204
44,0.8525,0.8105,50.776,32.711
45,0.8514,0.8142,50.0,33.211
46,0.8504,0.8177,49.236,33.704
47,0.8493,0.8211,48.483,34.188
48,0.8482,0.8243,47.742,34.666
49,0.8471,0.8275,47.012,35.136
50,0.846,0.8305,46.294,35.599
51,0.8449,0.8334,45.586,36.055
52,0.8438,0.8362,44.889,36.504
53,0.8427,0.8389,44.203,36.946
54,0.8415,0.8415,43.528,37.381
55,0.8403,0.8076,42.862,37.81
56,0.8392,0.8108,42.207,38.232
57,0.838,0.814,41.562,38.647
58,0.8368,0.817,40.927,39.057
59,0.8356,0.82,40.301,39.46
60,0.8343,0.8228,39.685,39.856
61,0.8331,0.8256,39.078,40.247
62,0.8318,0.8282,38.481,40.632
63,0.8306,0.8308,37.893,41.011
64,0.8293,0.8334,37.314,41.384
65,0.828,0.8358,36.743,41.752
66,0.8267,0.8382,36.182,42.113
67,0.8253,0.8405,35.629,42.47
68,0.824,0.8427,35.084,42.82
69,0.8226,0.8449,34.548,43.166
70,0.8213,0.847,34.02,43.506
71,0.8199,0.849,33.5,43.841
72,0.8185,0.851,32.988,44.171
73,0.817,0.8529,32.483,44.496
74,0.8156,0.8548,31.987,44.816
75,0.8142,0.8567,31.498,45.131
76,0.8127,0.8584,31.017,45.441
77,0.8112,0.8602,30.542,45.746
78,0.8097,0.8619,30.076,46.047
79,0.8082,0.8635,29.616,46.343
80,0.8067,0.8651,29.163,46.635
81,0.8051,0.8667,28.717,46.922
82,0.8036,0.8682,28.279,47.205
83,0.802,0.8697,27.846,47.483
84,0.8004,0.8712,27.421,47.757
85,0.7988,0.8726,27.001,48.028
86,0.7972,0.874,26.589,48.293
87,0.7955,0.8753,26.182,48.555
88,0.7938,0.8766,25.782,48.813
89,0.7922,0.8779,25.388,49.067
90,0.7905,0.8792,25.0,49.317
91,0.7888,0.8516,24.618,49.563
92,0.787,0.8533,24.242,49.806
93,0.7853,0.855,23.871,50.044
94,0.7835,0.8566,23.506,50.279
95,0.7817,0.8582,23.147,50.511
96,0.7799,0.8597,22.793,50.739
97,0.7781,0.8613,22.445,50.963
98,0.7763,0.8628,22.102,51.184
99,0.7744,0.8642,21.764,51.402
100,0.7725,0.8656,21.431,51.616
101,0.7706,0.867,21.104,51.827
102,0.7687,0.8684,20.781,52.035
103,0.7668,0.8697,20.463,52.24
104,0.7648,0.8711,20.151,52.441
105,0.7629,0.8723,19.843,52.64
106,0.7609,0.8736,19.539,52.835
107,0.7589,0.8748,19.241,53.027
108,0.7568,0.876,18.946,53.217
109,0.7548,0.8772,18.657,53.403
110,0.7527,0.8784,18.372,53.587
111,0.7506,0.8795,18.091,53.768
112,0.7485,0.8806,17.814,53.946
113,0.7464,0.8817,17.542,54.122
114,0.7443,0.8567,17.274,54.294
115,0.7421,0.8582,17.01,54.464
116,0.7399,0.8596,16.75,54.632
117,0.7377,0.861,16.494,54.797
118,0.7355,0.8624,16.242,54.959
119,0.7333,0.8392,15.993,55.119
120,0.731,0.8409,15.749,55.277
