minute,wilson,homepage_cutoff,rank,velocity_flag,downvotes_last_hour
-5.0,0.8583,0.5634,1,False,0
-4.0,0.8583,0.5634,1,False,0
-3.0,0.8583,0.5634,1,False,0
-2.0,0.8583,0.5634,1,False,0
-1.0,0.8583,0.5634,1,False,0
0.0,0.8412,0.5634,1,False,1
1.0,0.6694,0.5634,2,False,15
2.0,0.554,0.5634,8,False,30
3.0,0.4736,0.5634,8,False,45
4.0,0.414,0.5634,9,False,60
5.0,0.3678,0.5634,10,False,75
6.0,0.331,0.5634,10,False,90
7.0,0.3009,0.5634,10,False,105
8.0,0.2759,0.5634,10,False,120
9.0,0.2547,0.5634,10,False,135
10.0,0.2366,0.5634,10,False,150
11.0,0.2366,0.5634,10,False,150
12.0,0.2366,0.5634,10,False,150
13.0,0.2366,0.5634,10,False,150
14.0,0.2366,0.5634,10,False,150
15.0,0.2366,0.5634,10,False,150
16.0,0.2366,0.5634,10,False,150
17.0,0.2366,0.5634,10,False,150
18.0,0.2366,0.5634,10,False,150
19.0,0.2366,0.5634,10,False,150
20.0,0.2366,0.5634,10,False,150
21.0,0.2366,0.5634,10,False,150
22.0,0.2366,0.5634,10,False,150
23.0,0.2366,0.5634,10,False,150
24.0,0.2366,0.5634,10,False,150
25.0,0.2366,0.5634,10,False,150
26.0,0.2366,0.5634,10,False,150
27.0,0.2366,0.5634,10,False,150
28.0,0.2366,0.5634,10,False,150
29.0,0.2366,0.5634,10,False,150
30.0,0.2366,0.5634,10,False,150
31.0,0.2366,0.5634,10,False,150
32.0,0.2366,0.5633,10,False,150
33.0,0.2366,0.5633,10,False,150
34.0,0.2366,0.5633,10,False,150
35.0,0.2366,0.5633,10,False,150
36.0,0.2366,0.5633,10,False,150
37.0,0.2366,0.5633,10,False,150
38.0,0.2366,0.5633,10,False,150
39.0,0.2366,0.5633,10,False,150
40.0,0.2366,0.5633,10,False,150
41.0,0.2366,0.5633,10,False,150
42.0,0.2366,0.5633,10,False,150
43.0,0.2366,0.5633,10,False,150
44.0,0.2366,0.5633,10,False,150
45.0,0.2366,0.5633,10,False,150
46.0,0.2366,0.5633,10,False,150
47.0,0.2366,0.5633,10,False,150
48.0,0.2366,0.5633,10,False,150
49.0,0.2366,0.5633,10,False,150
50.0,0.2365,0.5633,10,False,150
51.0,0.2365,0.5633,10,False,150
52.0,0.2365,0.5633,10,False,150
53.0,0.2365,0.5633,10,False,150
54.0,0.2365,0.5633,10,False,150
55.0,0.2365,0.5633,10,False,150
56.0,0.2365,0.5633,10,False,150
57.0,0.2365,0.5633,10,False,150
58.0,0.2365,0.5633,10,False,150
59.0,0.2365,0.5633,10,False,150
60.0,0.2365,0.5633,10,False,149
